20161122 21:10:49  [INFO] info  测试日志
20161127 16:10:19  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 16:10:19  [INFO] 杩��ュ��  NETPAY
20161127 16:10:19  [INFO] UniBServer  PreLoad classes OK!
20161127 16:10:19  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 16:10:19  [INFO] UniBServer  StartServiceManager OK!
20161127 16:10:19  [INFO] Active module:   monitor, netpay
20161127 16:10:19  [INFO] BServer-NPS  System started

20161127 16:21:09  [INFO] UniBServer  System starting......
20161127 16:21:09  [INFO] UniBServer  Init global config OK!
20161127 16:21:09  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 16:21:09  [INFO] 杩��ュ��  NETPAY
20161127 16:21:09  [INFO] UniBServer  PreLoad classes OK!
20161127 16:21:09  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 16:21:09  [INFO] UniBServer  StartServiceManager OK!
20161127 16:21:09  [INFO] Active module:   monitor, netpay
20161127 16:21:09  [INFO] BServer-NPS  System started

20161127 16:31:36  [INFO] UniBServer  System starting......
20161127 16:31:36  [INFO] UniBServer  Init global config OK!
20161127 16:31:36  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 16:31:36  [INFO] 杩��ュ��  NETPAY
20161127 16:31:36  [INFO] UniBServer  PreLoad classes OK!
20161127 16:31:36  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 16:31:36  [INFO] UniBServer  StartServiceManager OK!
20161127 16:31:36  [INFO] Active module:   monitor, netpay
20161127 16:31:36  [INFO] BServer-NPS  System started

20161127 16:46:05  [INFO] UniBServer  System starting......
20161127 16:46:05  [INFO] UniBServer  Init global config OK!
20161127 16:46:06  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 16:46:06  [INFO] 杩��ュ��  NETPAY
20161127 16:46:06  [INFO] UniBServer  PreLoad classes OK!
20161127 16:46:06  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 16:46:06  [INFO] UniBServer  StartServiceManager OK!
20161127 16:46:06  [INFO] Active module:   monitor, netpay
20161127 16:46:06  [INFO] BServer-NPS  System started

20161127 16:51:31  [INFO] UniBServer  System starting......
20161127 16:51:31  [INFO] UniBServer  Init global config OK!
20161127 16:51:31  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 16:51:31  [INFO] 杩��ュ��  NETPAY
20161127 16:51:31  [INFO] UniBServer  PreLoad classes OK!
20161127 16:51:31  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 16:51:31  [INFO] UniBServer  StartServiceManager OK!
20161127 16:51:31  [INFO] Active module:   monitor, netpay
20161127 16:51:31  [INFO] BServer-NPS  System started

20161127 17:02:00  [INFO] UniBServer  System starting......
20161127 17:02:00  [INFO] UniBServer  Init global config OK!
20161127 17:02:00  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 17:02:00  [INFO] 杩��ュ��  NETPAY
20161127 17:02:00  [INFO] UniBServer  PreLoad classes OK!
20161127 17:02:00  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 17:02:00  [INFO] UniBServer  StartServiceManager OK!
20161127 17:02:00  [INFO] Active module:   monitor, netpay
20161127 17:02:00  [INFO] BServer-NPS  System started

20161127 18:17:26  [INFO] UniBServer  System starting......
20161127 18:17:26  [INFO] UniBServer  Init global config OK!
20161127 18:17:26  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 18:17:26  [INFO] 杩��ュ��  NETPAY
20161127 18:17:27  [INFO] UniBServer  PreLoad classes OK!
20161127 18:17:27  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 18:17:27  [INFO] UniBServer  StartServiceManager OK!
20161127 18:17:27  [INFO] Active module:   monitor, netpay
20161127 18:17:27  [INFO] BServer-NPS  System started

20161127 18:45:54  [INFO] UniBServer  System starting......
20161127 18:45:54  [INFO] UniBServer  Init global config OK!
20161127 18:45:55  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 18:45:55  [INFO] 杩��ュ��  NETPAY
20161127 18:45:55  [INFO] UniBServer  PreLoad classes OK!
20161127 18:45:55  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 18:45:55  [INFO] UniBServer  StartServiceManager OK!
20161127 18:45:55  [INFO] Active module:   monitor, netpay
20161127 18:45:55  [INFO] BServer-NPS  System started

20161127 18:53:34  [INFO] UniBServer  System starting......
20161127 18:53:34  [INFO] UniBServer  Init global config OK!
20161127 18:53:34  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 18:53:34  [INFO] 杩��ュ��  NETPAY
20161127 18:53:35  [INFO] UniBServer  PreLoad classes OK!
20161127 18:53:41  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 18:53:41  [INFO] UniBServer  StartServiceManager OK!
20161127 18:53:41  [INFO] Active module:   monitor, netpay
20161127 18:53:41  [INFO] BServer-NPS  System started

20161127 18:57:03  [INFO] UniBServer  System starting......
20161127 18:57:03  [INFO] UniBServer  Init global config OK!
20161127 18:57:03  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 18:57:03  [INFO] 杩��ュ��  NETPAY
20161127 18:57:03  [INFO] UniBServer  PreLoad classes OK!
20161127 18:57:09  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 18:57:09  [INFO] UniBServer  StartServiceManager OK!
20161127 18:57:09  [INFO] Active module:   monitor, netpay
20161127 18:57:09  [INFO] BServer-NPS  System started

20161127 18:58:45  [INFO] UniBServer  System starting......
20161127 18:58:45  [INFO] UniBServer  Init global config OK!
20161127 18:58:45  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 18:58:45  [INFO] 杩��ュ��  NETPAY
20161127 18:58:45  [INFO] UniBServer  PreLoad classes OK!
20161127 18:58:51  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 18:58:51  [INFO] UniBServer  StartServiceManager OK!
20161127 18:58:51  [INFO] Active module:   monitor, netpay
20161127 18:58:51  [INFO] BServer-NPS  System started

20161127 19:01:25  [INFO] UniBServer  System starting......
20161127 19:01:25  [INFO] UniBServer  Init global config OK!
20161127 19:01:26  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:01:26  [INFO] 杩��ュ��  NETPAY
20161127 19:01:26  [INFO] UniBServer  PreLoad classes OK!
20161127 19:01:26  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 19:01:26  [INFO] UniBServer  StartServiceManager OK!
20161127 19:01:26  [INFO] Active module:   monitor, netpay
20161127 19:01:26  [INFO] BServer-NPS  System started

20161127 19:02:44  [INFO] UniBServer  System starting......
20161127 19:02:44  [INFO] UniBServer  Init global config OK!
20161127 19:02:44  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:02:44  [INFO] 杩��ュ��  NETPAY
20161127 19:02:44  [INFO] UniBServer  PreLoad classes OK!
20161127 19:02:44  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 19:02:44  [INFO] UniBServer  StartServiceManager OK!
20161127 19:02:44  [INFO] Active module:   monitor, netpay
20161127 19:02:44  [INFO] BServer-NPS  System started

20161127 19:03:35  [INFO] UniBServer  System starting......
20161127 19:03:35  [INFO] UniBServer  Init global config OK!
20161127 19:03:35  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:03:35  [INFO] 杩��ュ��  NETPAY
20161127 19:03:35  [INFO] UniBServer  PreLoad classes OK!
20161127 19:03:40  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 19:03:40  [INFO] UniBServer  StartServiceManager OK!
20161127 19:03:40  [INFO] Active module:   monitor, netpay
20161127 19:03:40  [INFO] BServer-NPS  System started

20161127 19:04:44  [INFO] UniBServer  System starting......
20161127 19:04:44  [INFO] UniBServer  Init global config OK!
20161127 19:04:44  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:04:44  [INFO] 杩��ュ��  NETPAY
20161127 19:04:44  [INFO] UniBServer  PreLoad classes OK!
20161127 19:04:49  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 19:04:49  [INFO] UniBServer  StartServiceManager OK!
20161127 19:04:49  [INFO] Active module:   monitor, netpay
20161127 19:04:49  [INFO] BServer-NPS  System started

20161127 19:05:29  [INFO] UniBServer  System starting......
20161127 19:05:29  [INFO] UniBServer  Init global config OK!
20161127 19:05:29  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:05:29  [INFO] 杩��ュ��  NETPAY
20161127 19:05:29  [INFO] UniBServer  PreLoad classes OK!
20161127 19:06:56  [INFO] UniBServer  System starting......
20161127 19:06:56  [INFO] UniBServer  Init global config OK!
20161127 19:06:56  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:06:56  [INFO] 杩��ュ��  NETPAY
20161127 19:06:56  [INFO] UniBServer  PreLoad classes OK!
20161127 19:06:56  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 19:06:56  [INFO] UniBServer  StartServiceManager OK!
20161127 19:06:56  [INFO] Active module:   monitor, netpay
20161127 19:06:56  [INFO] BServer-NPS  System started

20161127 19:16:08  [INFO] UniBServer  System starting......
20161127 19:16:08  [INFO] UniBServer  Init global config OK!
20161127 19:16:08  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161127 19:16:08  [INFO] 杩��ュ��  NETPAY
20161127 19:16:08  [INFO] UniBServer  PreLoad classes OK!
20161127 19:16:08  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161127 19:16:08  [INFO] UniBServer  StartServiceManager OK!
20161127 19:16:08  [INFO] Active module:   monitor, netpay
20161127 19:16:08  [INFO] BServer-NPS  System started

20161129 22:24:45  [INFO] UniBServer  System starting......
20161129 22:24:45  [INFO] UniBServer  Init global config OK!
20161129 22:24:46  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161129 22:24:46  [INFO] 杩��ュ��  NETPAY
20161129 22:24:46  [INFO] UniBServer  PreLoad classes OK!
20161129 22:24:46  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161129 22:24:46  [INFO] UniBServer  StartServiceManager OK!
20161129 22:24:46  [INFO] Active module:   monitor, netpay
20161129 22:24:46  [INFO] BServer-NPS  System started

20161130 20:21:13  [INFO] UniBServer  System starting......
20161130 20:21:13  [INFO] UniBServer  Init global config OK!
20161130 20:21:14  [INFO] kafeihu.zk.db.pool.DBConnectionPool   [id=NETPAY, username=root, jdbcUrl=jdbc:mysql://127.0.0.1/zkMoney, maxSize=50, minSize=2]
20161130 20:21:14  [INFO] 杩��ュ��  NETPAY
20161130 20:21:14  [INFO] UniBServer  PreLoad classes OK!
20161130 20:21:15  [INFO] kafeihu.zk.base.server.BSocketServer  started. [alias=SocketServer-NPS, port=8010]
20161130 20:21:15  [INFO] UniBServer  StartServiceManager OK!
20161130 20:21:15  [INFO] Active module:   monitor, netpay
20161130 20:21:15  [INFO] BServer-NPS  System started

